Poduct Description,Price,Rating,TotalRates,ImgURL
"Samsung Galaxy A54 Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Graphite - 1 year Warranty","13,599",4.1,49,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg
"Samsung galaxy s23+, 256gb memory, 8gb ram, phantom black, 5g mobile phone, dual sim, android smartphone, 1 year manufacturer warranty","33,899",4.5,25,https://m.media-amazon.com/images/I/616xeaUEdbL._AC_UL320_.jpg
"Realme C21Y International Blue, Bluetooth, Wi-Fi, USB","3,950",5.0,2,https://m.media-amazon.com/images/I/61GAf71rKIL._AC_UL320_.jpg
"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome White - 1 year Warranty","13,599",3.8,30,https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg
"Realme 9i Dual SIM Mobile Phone, *6.6 Inch, 128GB ROM, 6GB RAM - Prism Black","6,850",3.8,20,https://m.media-amazon.com/images/I/819YxPc1TOL._AC_UL320_.jpg
"realme 11 Pro 5G (Sunrise Beige, 8GB RAM, 256GB Storage) | 120 Hz Curved Display | 100MP Prolight Camera | 7050 5G Dimensity | 67W SUPERVOOC | 12GB Dynamic RAM | Premier Vegan Leather Finish Design","12,850",4.0,117,https://m.media-amazon.com/images/I/71HZ0tigFFL._AC_UL320_.jpg
"Laptop Magnetic Cell Phone Stand, Laptop Stands Phone Mount Universal Tablet Dock Foldable Aluminum Fixed Clip on Flat and Slim Monitor Enjoying Double Screen at The Same Time for Mobile Phone/iPad",104,3.5,5,https://m.media-amazon.com/images/I/61IOg7p1pEL._AC_UL320_.jpg
LDNIO LS441 Mobile Phone Cables 2.4A Fast Charging Micro USB Cable 1M - Grey,52,4.2,"1,008",https://m.media-amazon.com/images/I/51vreex1h1L._AC_UL320_.jpg
"LAB7 4 in 1 Sim Card Adapter Set Nano, Micro & Standard for Mobile Phones (White)",30,,,https://m.media-amazon.com/images/I/510AM2P1GXL._AC_UL320_.jpg
"LDNIO LS63 Mobile Phone 2.4A Fast Charging Lightning USB Cable, 1m - Red",132,3.0,1,https://m.media-amazon.com/images/I/31psOeZd-KL._AC_UL320_.jpg
